Employee ID,Employee Name,Date,Active Start Time ( AM ),Active Screen Time ( in hours ),Active Collaboration Time ( in hours ),Social Time ( in hours ),Percentage of Task Closed,Role,Rating
1,Jane Smith,2023-02-25,08:36,1.45,1.66,0.95,60,Marketing Specialist,1
1,Jane Smith,2023-02-26,08:29,4.96,1.09,0.25,69,Marketing Specialist,2
1,Jane Smith,2023-02-27,08:45,4.15,1.03,0.68,93,Marketing Specialist,3
1,Jane Smith,2023-02-28,08:45,3.99,1.38,1.6,76,Marketing Specialist,4
1,Jane Smith,2023-03-01,09:28,2.85,1.01,0.14,65,Marketing Specialist,1
1,Jane Smith,2023-03-02,09:37,4.8,1.59,0.03,62,Marketing Specialist,1
1,Jane Smith,2023-03-03,09:49,2.1,1.82,0.85,75,Marketing Specialist,4
1,Jane Smith,2023-03-04,08:57,2.53,1.11,1.36,65,Marketing Specialist,1
1,Jane Smith,2023-03-05,08:49,2.99,1.13,1.21,85,Marketing Specialist,4
1,Jane Smith,2023-03-06,09:27,5.04,1.75,0.01,69,Marketing Specialist,4
1,Jane Smith,2023-03-07,09:34,2.56,1.18,0.82,94,Marketing Specialist,1
1,Jane Smith,2023-03-08,08:39,3.62,1.76,1.48,93,Marketing Specialist,3
1,Jane Smith,2023-03-09,08:48,5.06,1.34,0.2,96,Marketing Specialist,3
1,Jane Smith,2023-03-10,08:30,1.26,1.43,1.31,81,Marketing Specialist,3
1,Jane Smith,2023-03-11,08:27,1.77,1.21,1.39,70,Marketing Specialist,3
1,Jane Smith,2023-03-12,09:50,2.05,1.87,0.08,92,Marketing Specialist,4
1,Jane Smith,2023-03-13,08:16,4.38,1.28,1.11,64,Marketing Specialist,4
1,Jane Smith,2023-03-14,09:56,5.93,1.38,0.77,80,Marketing Specialist,3
1,Jane Smith,2023-03-15,09:05,5.08,1.27,1.98,72,Marketing Specialist,1
1,Jane Smith,2023-03-16,09:11,1.52,2.0,0.72,88,Marketing Specialist,1
1,Jane Smith,2023-03-17,09:43,1.65,1.16,1.69,69,Marketing Specialist,2
1,Jane Smith,2023-03-18,08:32,3.97,1.94,1.86,61,Marketing Specialist,4
1,Jane Smith,2023-03-19,09:22,2.56,1.45,0.56,82,Marketing Specialist,3
1,Jane Smith,2023-03-20,09:28,1.46,1.65,1.54,71,Marketing Specialist,4
1,Jane Smith,2023-03-21,09:13,4.13,1.9,1.38,67,Marketing Specialist,2
1,Jane Smith,2023-03-22,08:50,4.97,2.0,0.37,84,Marketing Specialist,4
1,Jane Smith,2023-03-23,08:22,5.23,1.9,0.43,70,Marketing Specialist,3
1,Jane Smith,2023-03-24,08:18,5.3,1.25,0.04,89,Marketing Specialist,1
1,Jane Smith,2023-03-25,08:03,2.4499999999999997,1.11,0.44,81,Marketing Specialist,2
1,Jane Smith,2023-03-26,08:44,1.9499999999999997,1.97,0.08,78,Marketing Specialist,2
1,Jane Smith,2023-03-27,08:04,4.94,1.9,0.55,68,Marketing Specialist,4
1,Jane Smith,2023-03-28,08:52,5.75,1.62,0.11,83,Marketing Specialist,2
1,Jane Smith,2023-03-29,09:29,4.19,1.97,0.39,73,Marketing Specialist,2
1,Jane Smith,2023-03-30,09:16,2.0999999999999996,1.82,0.08,62,Marketing Specialist,4
1,Jane Smith,2023-03-31,08:19,3.79,1.16,0.5,98,Marketing Specialist,4
2,Emily Davis,2023-01-01,09:25,5.58,1.6,0.49,73,Product Manager,4
2,Emily Davis,2023-01-02,09:28,2.98,1.9,1.87,99,Product Manager,2
2,Emily Davis,2023-01-03,09:14,2.35,1.06,1.21,86,Product Manager,1
2,Emily Davis,2023-01-04,08:17,5.87,1.7,0.06,88,Product Manager,1
2,Emily Davis,2023-01-05,08:21,5.57,1.03,1.15,94,Product Manager,3
2,Emily Davis,2023-01-06,08:44,3.26,1.84,1.39,90,Product Manager,4
2,Emily Davis,2023-01-07,09:13,5.74,1.26,1.22,62,Product Manager,1
2,Emily Davis,2023-01-08,08:04,4.73,1.09,1.75,79,Product Manager,1
2,Emily Davis,2023-01-09,09:42,4.73,1.41,0.01,68,Product Manager,2
2,Emily Davis,2023-01-10,09:21,2.82,1.78,1.93,100,Product Manager,1
2,Emily Davis,2023-01-11,09:33,2.24,1.04,1.27,67,Product Manager,4
2,Emily Davis,2023-01-12,08:28,1.1,1.51,1.98,94,Product Manager,2
2,Emily Davis,2023-01-13,09:16,4.47,1.77,1.5,99,Product Manager,3
2,Emily Davis,2023-01-14,09:07,5.65,1.27,0.3,83,Product Manager,1
2,Emily Davis,2023-01-15,08:40,3.88,1.75,1.98,63,Product Manager,2
2,Emily Davis,2023-01-16,09:22,2.2399999999999998,1.1,0.66,76,Product Manager,4
2,Emily Davis,2023-01-17,08:25,2.2600000000000002,1.04,0.7,92,Product Manager,4
2,Emily Davis,2023-01-18,08:25,4.9,1.94,0.21,72,Product Manager,2
2,Emily Davis,2023-01-19,08:28,1.08,1.88,1.32,74,Product Manager,1
2,Emily Davis,2023-01-20,09:03,4.91,1.95,0.31,67,Product Manager,3
2,Emily Davis,2023-01-21,09:32,1.7600000000000002,1.99,0.25,62,Product Manager,4
2,Emily Davis,2023-01-22,08:37,1.7400000000000004,2.0,0.26,73,Product Manager,3
2,Emily Davis,2023-01-23,08:00,5.97,1.64,1.97,90,Product Manager,2
2,Emily Davis,2023-01-24,08:51,1.56,1.15,1.92,66,Product Manager,4
2,Emily Davis,2023-01-25,08:26,4.26,1.33,1.44,66,Product Manager,3
2,Emily Davis,2023-01-26,09:48,3.09,1.4,0.46,76,Product Manager,3
2,Emily Davis,2023-01-27,09:11,1.75,1.02,1.23,62,Product Manager,2
2,Emily Davis,2023-01-28,08:36,4.09,1.02,0.9,82,Product Manager,2
2,Emily Davis,2023-01-29,09:05,4.65,1.18,1.62,78,Product Manager,1
2,Emily Davis,2023-01-30,08:33,3.69,1.97,0.57,70,Product Manager,4
2,Emily Davis,2023-01-31,09:37,2.84,1.04,0.12,72,Product Manager,3
2,Emily Davis,2023-02-01,08:44,3.68,1.22,0.16,90,Product Manager,4
2,Emily Davis,2023-02-02,09:52,4.28,1.78,1.39,61,Product Manager,3
2,Emily Davis,2023-02-03,09:55,5.23,1.63,0.59,64,Product Manager,3
2,Emily Davis,2023-02-04,09:09,2.9699999999999998,1.01,0.02,60,Product Manager,4
2,Emily Davis,2023-02-05,09:13,1.62,1.17,1.99,80,Product Manager,3
2,Emily Davis,2023-02-06,08:45,3.64,1.43,1.76,85,Product Manager,3
2,Emily Davis,2023-02-07,09:32,2.31,1.11,1.22,79,Product Manager,4
2,Emily Davis,2023-02-08,08:37,3.55,1.06,1.81,61,Product Manager,1
2,Emily Davis,2023-02-09,09:56,2.71,1.14,0.36,89,Product Manager,4
2,Emily Davis,2023-02-10,08:29,2.73,1.18,0.09,78,Product Manager,2
2,Emily Davis,2023-02-11,09:28,4.58,1.53,1.07,79,Product Manager,1
2,Emily Davis,2023-02-12,09:34,2.29,1.64,2.0,61,Product Manager,1
2,Emily Davis,2023-02-13,08:09,3.76,1.25,1.23,76,Product Manager,4
2,Emily Davis,2023-02-14,08:31,3.03,1.98,0.78,70,Product Manager,1
2,Emily Davis,2023-02-15,08:47,3.41,1.66,1.83,100,Product Manager,1
2,Emily Davis,2023-02-16,08:42,2.88,1.39,1.26,90,Product Manager,4
2,Emily Davis,2023-02-17,08:01,4.97,1.36,0.89,87,Product Manager,1
2,Emily Davis,2023-02-18,08:13,2.66,1.06,0.88,70,Product Manager,1
2,Emily Davis,2023-02-19,09:47,3.55,1.19,1.17,69,Product Manager,3
2,Emily Davis,2023-02-20,08:24,3.72,1.71,1.07,87,Product Manager,4
2,Emily Davis,2023-02-21,09:06,1.4,1.06,1.78,79,Product Manager,4
2,Emily Davis,2023-02-22,09:58,5.58,1.03,1.35,78,Product Manager,4
2,Emily Davis,2023-02-23,08:00,1.32,1.78,0.9,79,Product Manager,1
2,Emily Davis,2023-02-24,09:06,1.33,1.94,1.61,83,Product Manager,2
2,Emily Davis,2023-02-25,09:51,3.74,1.78,0.34,95,Product Manager,3
2,Emily Davis,2023-02-26,08:03,4.65,1.56,1.66,84,Product Manager,1
2,Emily Davis,2023-02-27,09:56,2.74,1.56,1.95,90,Product Manager,2
2,Emily Davis,2023-02-28,09:42,1.39,1.63,1.0,90,Product Manager,4
2,Emily Davis,2023-03-01,08:39,5.73,1.44,0.37,74,Product Manager,3
2,Emily Davis,2023-03-02,09:41,1.5300000000000005,1.13,1.34,73,Product Manager,2
2,Emily Davis,2023-03-03,08:10,2.4,1.09,0.64,80,Product Manager,2
2,Emily Davis,2023-03-04,09:06,2.41,1.39,0.2,92,Product Manager,3
2,Emily Davis,2023-03-05,09:30,4.93,1.84,0.12,87,Product Manager,4
2,Emily Davis,2023-03-06,09:13,3.68,1.11,0.13,67,Product Manager,1
2,Emily Davis,2023-03-07,09:37,2.2,1.56,0.24,81,Product Manager,2
2,Emily Davis,2023-03-08,09:34,4.4,1.76,0.97,73,Product Manager,2
2,Emily Davis,2023-03-09,09:07,5.16,1.33,1.09,96,Product Manager,4
2,Emily Davis,2023-03-10,09:23,5.99,1.9,1.33,65,Product Manager,2
2,Emily Davis,2023-03-11,08:31,4.56,1.13,0.9,97,Product Manager,4
2,Emily Davis,2023-03-12,09:03,3.78,1.48,1.92,67,Product Manager,2
2,Emily Davis,2023-03-13,09:30,3.23,1.02,0.89,92,Product Manager,4
2,Emily Davis,2023-03-14,09:24,1.77,1.87,1.53,72,Product Manager,1
2,Emily Davis,2023-03-15,09:45,3.47,1.08,0.9,85,Product Manager,2
2,Emily Davis,2023-03-16,08:00,4.82,1.79,1.97,94,Product Manager,2
2,Emily Davis,2023-03-17,08:37,2.94,1.75,1.93,69,Product Manager,2
2,Emily Davis,2023-03-18,09:37,1.77,1.6,1.73,99,Product Manager,3
2,Emily Davis,2023-03-19,09:57,4.21,1.08,0.03,75,Product Manager,2
2,Emily Davis,2023-03-20,08:29,3.72,1.1,0.48,100,Product Manager,4
2,Emily Davis,2023-03-21,09:08,6.0,1.43,0.64,72,Product Manager,3
2,Emily Davis,2023-03-22,09:25,4.62,1.62,1.16,92,Product Manager,4
2,Emily Davis,2023-03-23,08:46,4.18,1.58,0.09,81,Product Manager,3
2,Emily Davis,2023-03-24,08:02,5.32,1.34,0.62,99,Product Manager,3
2,Emily Davis,2023-03-25,09:15,4.63,1.09,1.52,88,Product Manager,3
2,Emily Davis,2023-03-26,09:30,3.33,1.02,0.53,71,Product Manager,4
2,Emily Davis,2023-03-27,08:22,5.1,1.57,1.33,90,Product Manager,1
2,Emily Davis,2023-03-28,09:29,4.12,1.44,0.7,91,Product Manager,4
2,Emily Davis,2023-03-29,09:20,3.59,1.7,0.54,65,Product Manager,4
2,Emily Davis,2023-03-30,08:33,4.31,1.98,1.59,88,Product Manager,3
2,Emily Davis,2023-03-31,09:58,4.18,1.0,1.18,69,Product Manager,3
3,Kim White,2023-01-01,09:39,2.61,1.69,1.3,97,Marketing Specialist,1
3,Kim White,2023-01-02,08:26,3.04,1.61,0.04,79,Marketing Specialist,1
3,Kim White,2023-01-03,08:05,4.74,1.96,0.11,62,Marketing Specialist,3
3,Kim White,2023-01-04,08:47,5.01,1.46,1.05,65,Marketing Specialist,1
3,Kim White,2023-01-05,08:48,2.25,1.36,1.71,79,Marketing Specialist,2
3,Kim White,2023-01-06,09:06,4.56,1.01,1.62,65,Marketing Specialist,3
3,Kim White,2023-01-07,08:38,2.8,1.88,0.37,90,Marketing Specialist,2
3,Kim White,2023-01-08,09:34,2.41,1.22,0.93,86,Marketing Specialist,3
3,Kim White,2023-01-09,09:39,5.92,1.3,1.07,87,Marketing Specialist,1
3,Kim White,2023-01-10,08:04,5.68,1.08,1.06,78,Marketing Specialist,3
3,Kim White,2023-01-11,09:04,3.71,1.5,0.16,94,Marketing Specialist,1
3,Kim White,2023-01-12,08:20,1.1800000000000002,1.08,1.74,66,Marketing Specialist,4
3,Kim White,2023-01-13,09:02,4.97,1.01,1.58,61,Marketing Specialist,1
3,Kim White,2023-01-14,09:12,1.39,1.82,1.87,97,Marketing Specialist,3
3,Kim White,2023-01-15,09:17,4.17,1.03,0.21,91,Marketing Specialist,1
3,Kim White,2023-01-16,08:20,3.73,1.64,1.42,78,Marketing Specialist,2
3,Kim White,2023-01-17,08:13,5.3,1.3,1.48,92,Marketing Specialist,4
3,Kim White,2023-01-18,08:07,1.8699999999999999,1.56,0.57,90,Marketing Specialist,2
3,Kim White,2023-01-19,09:04,5.18,1.14,0.66,63,Marketing Specialist,4
3,Kim White,2023-01-20,09:42,4.99,1.59,0.59,79,Marketing Specialist,4
3,Kim White,2023-01-21,09:01,4.98,1.99,1.53,85,Marketing Specialist,4
3,Kim White,2023-01-22,08:37,1.83,1.25,1.85,85,Marketing Specialist,2
3,Kim White,2023-01-23,08:10,4.11,1.21,0.83,66,Marketing Specialist,4
3,Kim White,2023-01-24,08:17,4.42,1.11,1.04,63,Marketing Specialist,4
3,Kim White,2023-01-25,09:26,3.59,1.34,0.71,81,Marketing Specialist,4
3,Kim White,2023-01-26,08:30,2.4,1.04,0.56,86,Marketing Specialist,3
3,Kim White,2023-01-27,08:37,3.4,1.94,1.98,80,Marketing Specialist,3
3,Kim White,2023-01-28,09:08,4.87,1.15,1.61,93,Marketing Specialist,1
3,Kim White,2023-01-29,09:41,1.37,1.85,1.62,68,Marketing Specialist,4
3,Kim White,2023-01-30,08:26,2.41,1.39,0.2,96,Marketing Specialist,4
3,Kim White,2023-01-31,08:24,2.94,1.6,0.01,73,Marketing Specialist,2
3,Kim White,2023-02-01,08:24,2.24,1.52,1.99,85,Marketing Specialist,2
3,Kim White,2023-02-02,09:58,1.54,1.91,1.68,76,Marketing Specialist,3
3,Kim White,2023-02-03,08:30,3.27,1.04,1.79,99,Marketing Specialist,2
3,Kim White,2023-02-04,08:51,1.27,1.93,0.81,75,Marketing Specialist,1
3,Kim White,2023-02-05,08:02,3.38,1.43,0.44,100,Marketing Specialist,3
3,Kim White,2023-02-06,08:25,4.6,1.94,0.68,71,Marketing Specialist,3
3,Kim White,2023-02-07,08:27,3.48,1.06,1.28,67,Marketing Specialist,1
3,Kim White,2023-02-08,09:04,2.14,1.65,0.98,73,Marketing Specialist,1
3,Kim White,2023-02-09,09:18,3.3,1.54,1.19,76,Marketing Specialist,2
3,Kim White,2023-02-10,08:53,4.49,1.96,0.03,81,Marketing Specialist,1
3,Kim White,2023-02-11,09:07,5.82,1.06,0.12,67,Marketing Specialist,1
3,Kim White,2023-02-12,08:30,2.12,1.59,0.29,79,Marketing Specialist,1
3,Kim White,2023-02-13,08:15,3.43,1.59,0.36,99,Marketing Specialist,4
3,Kim White,2023-02-14,08:39,4.1,1.73,0.28,76,Marketing Specialist,3
3,Kim White,2023-02-15,08:19,2.2899999999999996,1.36,0.35,98,Marketing Specialist,1
3,Kim White,2023-02-16,08:35,1.13,1.57,1.72,68,Marketing Specialist,4
3,Kim White,2023-02-17,09:15,2.96,1.78,0.72,95,Marketing Specialist,3
3,Kim White,2023-02-18,08:05,1.69,2.0,1.45,68,Marketing Specialist,1
3,Kim White,2023-02-19,08:27,5.93,1.95,0.67,70,Marketing Specialist,3
3,Kim White,2023-02-20,09:22,4.52,1.31,1.25,79,Marketing Specialist,4
3,Kim White,2023-02-21,09:05,2.2699999999999996,1.35,0.38,79,Marketing Specialist,2
3,Kim White,2023-02-22,09:34,2.72,1.03,1.66,69,Marketing Specialist,4
3,Kim White,2023-02-23,08:21,2.61,1.73,1.82,79,Marketing Specialist,3
3,Kim White,2023-02-24,08:29,5.34,1.5,1.86,79,Marketing Specialist,2
3,Kim White,2023-02-25,08:27,2.73,1.15,1.88,91,Marketing Specialist,4
3,Kim White,2023-02-26,08:26,2.58,1.62,1.26,89,Marketing Specialist,1
3,Kim White,2023-02-27,08:36,3.89,1.56,1.73,65,Marketing Specialist,1
3,Kim White,2023-02-28,08:16,3.5,1.26,0.75,82,Marketing Specialist,4
3,Kim White,2023-03-01,09:38,4.71,1.41,0.63,64,Marketing Specialist,2
3,Kim White,2023-03-02,08:55,4.9,1.65,1.23,71,Marketing Specialist,4
3,Kim White,2023-03-03,09:15,2.22,1.84,1.81,84,Marketing Specialist,2
3,Kim White,2023-03-04,09:28,5.66,1.63,0.21,63,Marketing Specialist,3
3,Kim White,2023-03-05,09:37,5.34,1.28,1.48,92,Marketing Specialist,2
3,Kim White,2023-03-06,08:55,5.35,1.67,1.16,88,Marketing Specialist,2
3,Kim White,2023-03-07,08:44,4.27,1.63,0.14,78,Marketing Specialist,2
3,Kim White,2023-03-08,08:37,2.96,1.7,0.8,84,Marketing Specialist,1
3,Kim White,2023-03-09,08:13,5.95,1.27,1.91,89,Marketing Specialist,3
3,Kim White,2023-03-10,08:56,3.61,1.38,0.14,86,Marketing Specialist,2
3,Kim White,2023-03-11,08:50,4.46,1.46,1.63,85,Marketing Specialist,3
3,Kim White,2023-03-12,09:23,2.94,1.66,0.39,88,Marketing Specialist,4
3,Kim White,2023-03-13,09:22,4.81,1.19,0.34,87,Marketing Specialist,2
3,Kim White,2023-03-14,09:28,1.28,1.86,1.89,67,Marketing Specialist,3
3,Kim White,2023-03-15,09:27,4.71,1.24,1.17,69,Marketing Specialist,2
3,Kim White,2023-03-16,08:53,1.48,1.87,1.76,95,Marketing Specialist,3
3,Kim White,2023-03-17,09:51,4.59,1.81,0.73,76,Marketing Specialist,2
3,Kim White,2023-03-18,09:14,4.76,1.23,1.22,71,Marketing Specialist,1
3,Kim White,2023-03-19,08:05,3.88,1.98,1.95,87,Marketing Specialist,2
3,Kim White,2023-03-20,08:59,1.98,1.67,0.51,63,Marketing Specialist,2
3,Kim White,2023-03-21,08:13,3.15,1.48,1.52,88,Marketing Specialist,2
3,Kim White,2023-03-22,09:29,1.19,1.12,1.82,99,Marketing Specialist,3
3,Kim White,2023-03-23,08:51,4.98,1.08,1.87,79,Marketing Specialist,1
3,Kim White,2023-03-24,08:28,4.84,1.43,1.06,85,Marketing Specialist,1
3,Kim White,2023-03-25,08:16,4.29,1.86,0.68,94,Marketing Specialist,3
3,Kim White,2023-03-26,08:32,5.08,1.23,0.25,85,Marketing Specialist,4
3,Kim White,2023-03-27,09:41,2.0,1.65,0.35,95,Marketing Specialist,4
3,Kim White,2023-03-28,08:05,5.15,1.66,1.48,70,Marketing Specialist,1
3,Kim White,2023-03-29,08:50,2.26,1.14,0.6,78,Marketing Specialist,4
3,Kim White,2023-03-30,09:16,4.3,1.24,0.19,61,Marketing Specialist,1
3,Kim White,2023-03-31,08:05,4.21,1.8,1.12,78,Marketing Specialist,1
4,Dave Jones,2023-01-01,09:48,4.27,1.08,0.79,75,Developer,3
4,Dave Jones,2023-01-02,09:59,5.3,1.14,0.95,91,Developer,4
4,Dave Jones,2023-01-03,08:15,1.45,1.87,1.68,92,Developer,4
4,Dave Jones,2023-01-04,09:03,4.48,2.0,0.02,61,Developer,4
4,Dave Jones,2023-01-05,09:51,3.88,1.79,1.55,98,Developer,3
4,Dave Jones,2023-01-06,09:06,1.98,1.87,0.57,100,Developer,2
4,Dave Jones,2023-01-07,08:19,3.06,1.15,1.02,70,Developer,4
4,Dave Jones,2023-01-08,09:43,5.82,1.71,0.17,84,Developer,1
4,Dave Jones,2023-01-09,08:44,2.44,1.7,1.58,89,Developer,2
4,Dave Jones,2023-01-10,09:01,2.06,1.47,0.5,78,Developer,3
4,Dave Jones,2023-01-11,09:01,1.78,1.62,1.87,73,Developer,2
4,Dave Jones,2023-01-12,08:27,4.36,1.59,0.09,95,Developer,3
4,Dave Jones,2023-01-13,09:10,2.56,2.0,0.71,69,Developer,4
4,Dave Jones,2023-01-14,09:42,5.39,1.3,0.42,81,Developer,2
4,Dave Jones,2023-01-15,08:24,2.32,1.33,0.35,81,Developer,4
4,Dave Jones,2023-01-16,09:55,5.55,1.76,0.73,63,Developer,4
4,Dave Jones,2023-01-17,08:09,3.72,1.04,0.74,80,Developer,3
4,Dave Jones,2023-01-18,08:13,5.46,1.84,1.78,88,Developer,3
4,Dave Jones,2023-01-19,09:50,1.4200000000000004,1.7,0.88,93,Developer,3
4,Dave Jones,2023-01-20,09:06,5.89,1.5,0.5,89,Developer,1
4,Dave Jones,2023-01-21,08:49,2.12,1.29,0.77,98,Developer,4
4,Dave Jones,2023-01-22,09:33,3.1,1.92,0.22,99,Developer,3
4,Dave Jones,2023-01-23,08:40,2.63,1.04,1.45,70,Developer,3
4,Dave Jones,2023-01-24,08:29,2.41,1.54,1.22,83,Developer,2
4,Dave Jones,2023-01-25,09:43,1.17,1.7,1.51,98,Developer,1
4,Dave Jones,2023-01-26,09:32,2.94,1.9,1.86,84,Developer,1
4,Dave Jones,2023-01-27,09:48,3.03,1.38,1.18,88,Developer,2
4,Dave Jones,2023-01-28,09:30,4.01,1.91,0.76,84,Developer,3
4,Dave Jones,2023-01-29,09:18,3.5,1.52,0.06,94,Developer,3
4,Dave Jones,2023-01-30,09:57,2.43,1.11,0.87,60,Developer,1
4,Dave Jones,2023-01-31,08:15,5.53,1.92,1.61,67,Developer,1
4,Dave Jones,2023-02-01,08:23,1.61,1.89,1.75,63,Developer,3
4,Dave Jones,2023-02-02,09:11,3.94,1.43,1.81,98,Developer,3
4,Dave Jones,2023-02-03,09:06,5.61,1.34,1.6,100,Developer,2
4,Dave Jones,2023-02-04,08:15,3.17,1.35,0.86,79,Developer,2
4,Dave Jones,2023-02-05,08:01,4.1,1.64,0.26,98,Developer,4
4,Dave Jones,2023-02-06,08:16,5.17,1.09,0.49,70,Developer,1
4,Dave Jones,2023-02-07,08:38,3.96,1.58,0.85,99,Developer,1
4,Dave Jones,2023-02-08,08:13,5.96,1.74,0.62,93,Developer,1
4,Dave Jones,2023-02-09,09:14,3.71,1.12,0.42,67,Developer,4
4,Dave Jones,2023-02-10,08:36,4.42,1.41,0.35,81,Developer,2
4,Dave Jones,2023-02-11,08:21,2.06,1.01,1.54,89,Developer,3
4,Dave Jones,2023-02-12,08:23,5.26,1.46,1.85,93,Developer,3
4,Dave Jones,2023-02-13,08:08,5.79,1.64,0.26,60,Developer,1
4,Dave Jones,2023-02-14,09:38,3.73,1.9,0.09,74,Developer,3
4,Dave Jones,2023-02-15,09:00,5.01,1.02,1.72,72,Developer,2
4,Dave Jones,2023-02-16,08:45,3.17,1.36,0.94,69,Developer,4
4,Dave Jones,2023-02-17,08:30,4.53,1.24,0.39,100,Developer,2
4,Dave Jones,2023-02-18,08:53,2.3499999999999996,1.46,0.19,72,Developer,4
4,Dave Jones,2023-02-19,08:31,3.48,1.07,1.42,92,Developer,2
